City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,16.25,41,75,8.75,CL,1735333595
1,avarua,-21.2078,-159.775,27.03,94,20,4.12,CK,1735333597
2,adamstown,-25.066,-130.1015,24.11,77,97,3.55,PN,1735333598
3,as sulayyil,20.4607,45.5779,17.24,38,83,3.93,SA,1735333600
4,waitangi,-43.9535,-176.5597,16.01,99,100,3.13,NZ,1735333601
5,badger,64.8,-147.5333,-15.07,78,75,1.54,US,1735333602
6,margaret river,-33.95,115.0667,13.06,88,22,1.94,AU,1735333603
7,port-aux-francais,-49.35,70.2167,4.58,74,7,16.4,TF,1735333605
8,yellowknife,62.456,-114.3525,-9.21,99,75,3.6,CA,1735333606
9,longyearbyen,78.2186,15.6401,-4.09,86,75,2.06,SJ,1735333607
10,arraial do cabo,-22.9661,-42.0278,26.92,83,75,2.57,BR,1735333608
11,bubaque,11.2833,-15.8333,26.27,69,53,6.03,GW,1735333610
12,bredasdorp,-34.5322,20.0403,20.72,68,97,2.53,ZA,1735333611
13,cabedelo,-6.9811,-34.8339,29.37,81,27,6.27,BR,1735333364
14,grytviken,-54.2811,-36.5092,12.18,41,17,7.86,GS,1735333613
15,danielskuil,-28.1887,23.5395,20.15,74,17,0.58,ZA,1735333615
16,pisco,-13.7,-76.2167,25.03,61,0,8.75,PE,1735333496
17,lolodorf,3.2333,10.7333,22.95,94,94,1.13,CM,1735333617
18,papatowai,-46.5619,169.4708,19.95,53,68,2.01,NZ,1735333618
19,boundiali,9.5217,-6.4869,24.85,15,72,1.36,CI,1735333620
20,tiksi,71.6872,128.8694,-29.15,100,91,1.46,RU,1735333621
21,flying fish cove,-10.4217,105.6791,25.82,94,40,2.06,CX,1735333623
22,uturoa,-16.7333,-151.4333,27.67,73,90,3.95,PF,1735333624
23,rodolfo sanchez taboada,31.7167,-116.5667,16.41,74,100,3.92,MX,1735333625
24,sarkand,45.41,79.9186,-3.84,70,97,3.02,KZ,1735333626
25,la passe,45.5549,-0.8967,7.06,82,0,2.21,FR,1735333628
26,ushuaia,-54.8,-68.3,13.81,47,75,6.69,AR,1735333484
27,suva,-18.1416,178.4415,27.71,78,75,1.03,FJ,1735333544
28,nemuro,43.3236,145.575,-3.63,67,22,10.85,JP,1735333631
29,bilibino,68.0546,166.4372,-43.93,100,93,1.4,RU,1735333633
30,selebi-phikwe,-21.979,27.8498,22.77,82,100,1.15,BW,1735333634
31,iskateley,67.6803,53.1512,-1.1,92,99,8.37,RU,1735333635
32,jamestown,42.097,-79.2353,5.8,65,40,4.63,US,1735333595
33,lebu,-37.6167,-73.65,17.51,75,99,5.07,CL,1735333637
34,warren,39.4334,-84.1666,11.68,92,100,6.17,US,1735333080
35,hermanus,-34.4187,19.2345,20.45,75,95,3.56,ZA,1735333640
36,urangan,-25.3,152.9,25.7,71,13,6.71,AU,1735333641
37,walvis bay,-22.9575,14.5053,16.85,85,98,4.17,NA,1735333642
